TIMESTAMP,GUID,INSTRUCTOR,ERROR
2022-06-22 10:32:54,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 11:23:06,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 11:49:08,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 12:14:09,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 12:36:40,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 13:18:15,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 13:40:27,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 14:15:44,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 14:39:30,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 15:17:05,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 15:39:59,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 16:17:42,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 16:40:25,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-22 18:44:27,7ca73904c3d9495bac3a94aa15f8c6df,Britany,No offering on this day
2022-06-27 12:35:55,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 13:16:12,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 13:39:29,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 14:14:56,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 14:38:40,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 15:15:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 15:39:06,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 16:15:30,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 16:38:46,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 18:49:20,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 20:43:51,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 21:42:23,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 22:25:49,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 22:44:43,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 23:23:16,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-27 23:48:04,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 00:16:28,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 00:38:19,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 01:25:56,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 01:49:06,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 02:17:41,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 02:40:43,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
2022-06-28 03:19:34,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,No offering on this day
