TIMESTAMP,NEXT_CLASS,GUID,INSTRUCTOR,SPOTS_REMAINING
2022-03-28 23:42:28,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,10
2022-03-29 06:45:44,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,9
2022-03-29 07:08:31,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,8
2022-03-29 07:37:44,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,6
2022-03-29 08:41:32,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,5
2022-03-29 09:51:39,2022-03-29 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,14
2022-03-29 09:51:43,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,5
2022-03-29 09:51:44,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,4
2022-03-29 10:13:26,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,6
2022-03-29 10:13:31,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,2
2022-03-29 10:38:16,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-03-29 13:34:55,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,5
2022-03-29 14:33:04,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,4
2022-03-29 15:04:13,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-03-29 15:35:45,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,1
2022-03-29 16:34:58,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,3
2022-03-29 16:35:00,2022-03-29 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-03-29 17:26:10,2022-03-29 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,2
2022-03-29 17:26:15,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,18
2022-03-29 19:10:14,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,20
2022-03-29 20:09:53,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,11
2022-03-29 20:46:53,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,9
2022-03-29 21:06:36,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,8
2022-03-29 21:44:03,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,17
2022-03-29 22:03:52,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,7
2022-03-29 23:41:01,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,5
2022-03-30 06:02:16,2022-03-30 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,16
2022-03-30 07:35:32,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,4
2022-03-30 08:09:24,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,3
2022-03-30 08:38:55,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,2
2022-03-30 09:09:48,2022-03-30 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,1
